zone_price,zone_amount,buy_id,buy_price,buy_unit,buy_fee_unit,buy_recive_unit,buy_open_time,buy_status,buy_close_time,sell_id,sell_price,sell_unit,sell_fee_amount,sell_recive_amount,sell_open_time,sell_status,sell_close_time
420,4,,,,,,,,,,,,,,,,
415.0198,4,,,,,,,,,,,,,,,,
410.0986,4,,,,,,,,,,,,,,,,
405.2358,4,,,,,,,,,,,,,,,,
400.4306,4,,,,,,,,,,,,,,,,
395.6824,4,,,,,,,,,,,,,,,,
390.9905,4,,,,,,,,,,,,,,,,
386.3543,4,,,,,,,,,,,,,,,,
381.773,4,,,,,,,,,,,,,,,,
377.246,4,,,,,,,,,,,,,,,,
372.7728,4,,,,,,,,,,,,,,,,
368.3525,4,,,,,,,,,,,,,,,,
363.9847,4,,,,,,,,,,,,,,,,
359.6687,4,,,,,,,,,,,,,,,,
355.4038,4,,,,,,,,,,,,,,,,
351.1896,4,,,,,,,,,,,,,,,,
347.0253,4,,,,,,,,,,,,,,,,
342.9103,4,,,,,,,,,,,,,,,,
338.8442,4,,,,,,,,,,,,,,,,
334.8263,4,,,,,,,,,,,,,,,,
330.856,4,,,,,,,,,,,,,,,,
326.9328,4,,,,,,,,,,,,,,,,
323.0562,4,,,,,,,,,,,,,,,,
319.2254,4,,,,,,,,,,,,,,,,
315.4402,4,,,,,,,,,,,,,,,,
311.6998,4,,,,,,,,,,,,,,,,
308.0037,4,,,,,,,,,,,,,,,,
304.3515,4,,,,,,,,,,,,,,,,
300.7426,4,,,,,,,,,,,,,,,,
297.1765,4,,,,,,,,,,,,,,,,
293.6526,4,,,,,,,,,,,,,,,,
290.1706,4,,,,,,,,,,,,,,,,
286.7298,4,,,,,,,,,,,,,,,,
283.3299,4,,,,,,,,,,,,,,,,
279.9702,4,,,,,,,,,,,,,,,,
276.6504,4,,,,,,,,,,,,,,,,
273.37,4,,,,,,,,,,,,,,,,
270.1285,4,,,,,,,,,,,,,,,,
266.9253,4,,,,,,,,,,,,,,,,
263.7602,4,,,,,,,,,,,,,,,,
260.6326,4,,,,,,,,,,,,,,,,
257.5421,4,,,,,,,,,,,,,,,,
254.4883,4,,,,,,,,,,,,,,,,
251.4706,4,,,,,,,,,,,,,,,,
248.4888,4,,,,,,,,,,,,,,,,
245.5422,4,,,,,,,,,,,,,,,,
242.6307,4,,,,,,,,,,,,,,,,
239.7536,4,,,,,,,,,,,,,,,,
236.9107,4,,,,,,,,,,,,,,,,
